# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	1092
#@/user_id	952a2cbd-9053-440b-94ce-ebe56d869986
ge zhong 	各种	c=1 d=0.878095 t=1092
gei 	给	c=3 d=2.21173 t=1092
gei chu 	给出	c=1 d=0.860708 t=1092
gei ni 	给你	c=1 d=0.895834 t=1092
gei wo 	给我	c=2 d=1.84771 t=1092
gei zhe xie 	给这些	c=1 d=0.847894 t=1092
geng qing liang 	更轻量	c=1 d=1 t=1092
gong 	公	c=1 d=0.995012 t=1092
gong zuo 	工作	c=2 d=1.70601 t=1092
gong zuo qu 	工作区	c=1 d=0.856415 t=1092
gou jian 	构建	c=1 d=1 t=1092
gua le 	挂了	c=1 d=0.980199 t=1092
guan li 	管理	c=7 d=5.01911 t=1092
guan li qi 	管理器	c=1 d=0.97531 t=1092
guan xi 	关系	c=8 d=6.09572 t=1092
ha ha ha 	哈哈哈	c=1 d=1 t=1092
hai shi 	还是	c=4 d=3.10701 t=1092
hao 	好	c=4 d=3.26659 t=1092
hao chi 	好吃	c=1 d=0.965605 t=1092
hao hao 	好好	c=1 d=0.802519 t=1092
hao ting 	好听	c=1 d=0.960789 t=1092
hao xiang 	好像	c=1 d=0.927743 t=1092
hao yong de 	好用的	c=1 d=0.970446 t=1092
he 	和	c=20 d=10.888 t=1092
he bing 	合并	c=2 d=1.70908 t=1092
he wo 	和我	c=0 d=0.0810584 t=1092
he wo de 	和我的	c=1 d=0.932394 t=1092
hei 	黑	c=1 d=0.794534 t=1092
hen duo 	很多	c=1 d=0.843665 t=1092
heng zhe fang 	横着放	c=1 d=0.860708 t=1092
hong se 	红色	c=1 d=0.951229 t=1092
hou 	后	c=3 d=2.68393 t=1092
hou xuan 	候选	c=1 d=0.960789 t=1092
hua 	话	c=1 d=0.932394 t=1092
hua nan 	华南	c=1 d=0.995012 t=1092
huan gei wo 	还给我	c=3 d=2.71068 t=1092
hui 	会	c=3 d=2.38165 t=1092
hui bu hui 	会不会	c=0 d=0.0923116 t=1092
hui he wo 	会和我	c=1 d=0.814647 t=1092
hui hua 	会话	c=2 d=1.53995 t=1092
hui huan 	回环	c=0 d=0.099005 t=1092
hui huan lu you 	回环路由	c=1 d=0.995012 t=1092
hui shu ru 	会输入	c=1 d=0.985112 t=1092
hui yong 	会用	c=0 d=0.0856415 t=1092
hui yong shang 	会用上	c=1 d=0.860708 t=1092
hui zhe yang 	会这样	c=1 d=0.985112 t=1092
huo qu 	获取	c=1 d=0.927743 t=1092
huo zhe 	或者	c=1 d=0.937067 t=1092
jia 	加	c=1 d=0.913931 t=1092
jia ge 	加个	c=1 d=0.97531 t=1092
jia ru le 	加入了	c=1 d=0.904837 t=1092
jian pan 	键盘	c=2 d=1.87472 t=1092
jian shao 	减少	c=1 d=0.951229 t=1092
jian shen 	健身	c=1 d=0.946485 t=1092
jian ting 	监听	c=1 d=0.856415 t=1092
jian wei 	键位	c=1 d=0.99005 t=1092
jiao 	叫	c=1 d=0.99005 t=1092
jie gou 	结构	c=1 d=1 t=1092
jie jie 	姐姐	c=0 d=0.0980199 t=1092
jie shi 	解释	c=5 d=3.11241 t=1092
jie shi xia 	解释下	c=2 d=1.87423 t=1092
jin qu 	进去	c=2 d=1.64328 t=1092
jin si 	近似	c=1 d=0.970446 t=1092
jin xing 	进行	c=1 d=0.937067 t=1092
jiu 	就	c=1 d=0.970446 t=1092
jiu hao la 	就好啦	c=1 d=0.774916 t=1092
jiu ke yi 	就可以	c=2 d=1.62746 t=1092
jiu neng 	就能	c=1 d=1 t=1087
jiu shi 	就是	c=2 d=1.82038 t=1092
ju ge 	举个	c=1 d=0.955997 t=1092
jue dui zhi 	绝对值	c=1 d=1 t=1092
ka zhu 	卡住	c=1 d=0.937067 t=1092
kan bu dong 	看不懂	c=1 d=0.941765 t=1092
kan dai ma 	看代码	c=1 d=0.932394 t=1092
kan jian 	看见	c=1 d=0.873716 t=1092
kan kan 	看看	c=1 d=0.937067 t=1092
kan xia 	看下	c=1 d=0.900325 t=1092
ke ai 	可爱	c=1 d=0.923116 t=1092
ke yi yong 	可以用	c=1 d=1 t=1092
ke yong 	可用	c=1 d=0.878095 t=1092
kong bai 	空白	c=1 d=0.995012 t=1092
kua 	跨	c=1 d=0.965605 t=1092
kuai jie 	快捷	c=2 d=1.82878 t=1092
kuai jie jian 	快捷键	c=2 d=1.81477 t=1092
kuo zhan 	扩展	c=1 d=0.985112 t=1092
lai 	赖	c=1 d=0.895834 t=1092
le 	了	c=4 d=2.9769 t=1092
le tian 	乐天	c=1 d=0.852144 t=1092
lei si yu 	类似于	c=2 d=1.97516 t=1092
li 	李	c=1 d=0.913931 t=1092
li 	里	c=3 d=2.57742 t=1092
li de 	里的	c=1 d=0.937067 t=1092
li gong 	理工	c=1 d=1 t=1092
li mian 	里面	c=1 d=0.83527 t=1092
li zi 	例子	c=1 d=0.960789 t=1092
lian 	练	c=2 d=1.71591 t=1092
lian er 	脸儿	c=0 d=0.0985112 t=1092
liang fen 	两份	c=1 d=0.99005 t=1092
liang ge 	两个	c=2 d=1.78917 t=1092
liang kuai 	两块	c=1 d=0.818731 t=1092
ling chen 	凌晨	c=0 d=0.0869358 t=1092
liu lan qi 	浏览器	c=3 d=2.16686 t=1092
long 	龙	c=1 d=0.932394 t=1092
lu jing 	路径	c=1 d=0.965605 t=1092
lu you 	路由	c=0 d=0.099005 t=1092
luan gai 	乱改	c=1 d=0.937067 t=1092
luo ji 	逻辑	c=1 d=0.995012 t=1092
ma 	吗	c=6 d=4.01318 t=1092
