# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	5607
#@/user_id	952a2cbd-9053-440b-94ce-ebe56d869986
ai 	唉	c=8 d=2.61297 t=5607
bu cun zai 	不存在	c=2 d=1.72219 t=5607
bu da 	不打	c=1 d=0.88692 t=5607
bu da rao 	不打扰	c=1 d=0.543351 t=5607
bu dao 	不到	c=1 d=0.895834 t=5607
bu dong 	不懂	c=0 d=0.0644036 t=5607
bu dui 	不对	c=5 d=3.5094 t=5607
bu dui ma 	不对吗	c=1 d=0.995369 t=5607
bu fen 	部分	c=2 d=1.45658 t=5607
bu fen fen 	部分分	c=1 d=0.913931 t=5607
bu gai bian 	不改变	c=1 d=0.951229 t=5607
bu geng xin 	不更新	c=1 d=1 t=5588
bu gong 	不公	c=1 d=0.965605 t=5607
bu gou ya 	不够呀	c=1 d=1 t=5607
bu guo 	不过	c=1 d=0.941765 t=5607
bu hu shi 	不忽视	c=1 d=0.843665 t=5607
bu hu zhi 	不互质	c=1 d=0.882497 t=5607
bu hui 	不会	c=2 d=1.64271 t=5607
bu hui lai le 	不回来了	c=1 d=0.591555 t=5607
bu hui su she 	不回宿舍	c=1 d=0.715338 t=5607
bu jian ni 	不见你	c=1 d=0.843665 t=5607
bu jiao 	补交	c=2 d=1.66894 t=5607
bu jin ru 	不进入	c=1 d=0.755784 t=5607
bu jin you 	不仅有	c=1 d=0.97531 t=5607
bu kai xin 	不开心	c=1 d=0.970446 t=5607
bu lai 	不来	c=0 d=0.088692 t=5607
bu le 	补了	c=1 d=1 t=5607
bu li jie 	不理解	c=1 d=0.67032 t=5607
bu liao 	不了	c=2 d=1.75621 t=5607
bu na 	不拿	c=0 d=0.0960789 t=5607
bu na dian nao 	不拿电脑	c=1 d=0.965605 t=5607
bu nai fan 	不耐烦	c=1 d=0.431711 t=5607
bu neng 	不能	c=5 d=3.08095 t=5607
bu qu 	不去	c=1 d=0.680451 t=5607
bu quan 	补全	c=1 d=0.970446 t=5607
bu quan ping 	不全屏	c=1 d=0.687289 t=5607
bu ran 	不然	c=1 d=0.913931 t=5607
bu ran ne 	不然呢	c=1 d=0.960789 t=5607
bu rang 	不让	c=1 d=0.965605 t=5607
bu rang ni 	不让你	c=1 d=0.771052 t=5607
bu rou 	不肉	c=1 d=0.755784 t=5607
bu shang ke 	不上课	c=1 d=0.923116 t=5607
bu sheng xiao 	不生效	c=2 d=1.74752 t=5607
bu shi 	不是	c=19 d=6.4256 t=5607
